id,rank,percent,ord,year
5B6,1,100,H,2016
5P6,2,95.65217391,H,2016
77S,3,93.47826087,H,2016
8K7,4,91.30434783,H,2016
62S,5,89.13043478,H,2016
3P7,6,86.95652174,H,2016
0G3,7,84.7826087,H,2016
2C0,8,82.60869565,H,2016
0B9,9,80.43478261,H,2016
6H6,10,78.26086957,H,2016
48V,11,76.08695652,M,2016
7 E3,12,73.91304348,M,2016
5N1,13,71.73913043,M,2016
22H,14,69.56521739,M,2016
20S,15,67.39130435,M,2016
4J3,16,65.2173913,M,2016
2 E8,17,63.04347826,M,2016
4J6,18,60.86956522,M,2016
0M2,19,58.69565217,M,2016
9I5,20,56.52173913,M,2016
16S,21,54.34782609,M,2016
7L7,22,52.17391304,M,2016
8 E2,23,50,M,2016
6B4,24,47.82608696,L,2016
9P5,25,45.65217391,L,2016
80S,26,43.47826087,L,2016
94S,27,41.30434783,L,2016
4N5,28,39.13043478,L,2016
3A9,29,36.95652174,L,2016
3N4,30,34.7826087,L,2016
03Z,31,32.60869565,L,2016
7L0,32,30.43478261,L,2016
9N0,33,28.26086957,L,2016
4I9,34,26.08695652,L,2016
65Z,35,23.91304348,L,2016
5J6,36,21.73913043,L,2016
55R,37,19.56521739,L,2016
9I7,38,17.39130435,L,2016
V80,39,15.2173913,L,2016
56R,40,13.04347826,L,2016
2 E9,41,10.86956522,L,2016
4L8,42,8.695652174,L,2016
36O,43,6.52173913,L,2016
7E 0,44,4.347826087,L,2016
2C7,45,2.173913043,L,2016
5I9,46,0,L,2016
