id,rank,percentrank,rc,sex,year
94O,1,100,0.809987252,M,2016
4N7,2,95.83333333,0.6437274,M,2016
43N,3,91.66666667,0.767022158,M,2016
1B7,4,87.5,0.787344426,M,2016
4J0,5,83.33333333,0.665152351,M,2016
41N,6,79.16666667,0.750198161,M,2016
6I4,7,75,0.624051886,M,2016
49Z,8,70.83333333,0.624305327,M,2016
3L6,9,66.66666667,0.561568067,M,2016
50P,10,62.5,0.520164083,M,2016
8L6,11,58.33333333,0.479657293,M,2016
4C6,12,54.16666667,0.520346542,M,2016
4N8,13,50,0.416714772,M,2016
5H7,14,45.83333333,0.458583504,M,2016
9C6,15,41.66666667,0.313934691,M,2016
3A6,16,37.5,0.271517562,M,2016
3L5,17,33.33333333,0.397226467,M,2016
1Q8,18,29.16666667,0.396791101,M,2016
0K1,19,25,0.251690768,M,2016
60T,20,20.83333333,0.251645827,M,2016
9P6,21,16.66666667,0.231720596,M,2016
9O0,22,12.5,0.251938827,M,2016
3P2,23,8.333333333,0.273042513,M,2016
1G8,24,4.166666667,0.231668426,M,2016
