id,wdeg_groom
'03Z',127.626673
'0B9',242.8451972
'0G3',157.7607485
'0K1',0
'0M2',139.1485254
'16S',63.81333648
'1B7',427.1948359
'1G8',122.3088949
'1Q8',93.94741204
'20S',90.40222668
'22H',30.13407556
'2C0',251.7081606
'2C7',153.4458848
'2E8',212.7111216
'2E9',207.9531097
'36O',186.3088201
'3A9',180.8044534
'3L5',31.90666824
'3L6',329.8888272
'3N4',120.5363022
'3P2',120.5363022
'3P7',90.40222668
'41N',36.16089067
'43N',117.3642943
'48V',62.0407438
'49Z',62.0407438
'4C6',0
'4I9',119.136887
'4J0',125.8540803
'4J3',152.4429705
'4J6',60.26815112
'4L8',233.4597854
'4N5',87.23021872
'4N7',60.26815112
'4N8',30.13407556
'50P',30.13407556
'55R',60.26815112
'56R',277.6066726
'5B6',405.9237237
'5H7',0
'5I9',134.0966362
'5J6',233.3291733
'5N1',0
'5P6',125.8540803
'62S',335.0200165
'65Z',150.6703778
'6B4',152.4429705
'6H6',331.4748312
'6I4',95.72000472
'77S',370.6584588
'7E0',65.80750324
'7E3',122.3088949
'7L0',95.72000472
'7L7',126.0756544
'80S',180.9910421
'8E2',30.13407556
'8K7',60.26815112
'8L6',0
'94O',312.1629004
'94S',88.8162227
'9I5',232.0323818
'9I7',60.26815112
'9N0',60.26815112
'9O0',0
'9P5',30.13407556
'9P6',58.68214714
'V80',223.3466777
