Row,0R2,11Z,16R,1P5,1S8,27J,2M4,2O4,2R0,3M3,3O7,3Q9,46Z,4R3,4R7,51J,56K,5J3,5K0,64S,6A9,6L3,6L4,73Z,7O3,8C9,94H,97Z,98Z,99L
0R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4995202248861,0,0,0,0
16R,0,0,0,0,0,11.7497601124431,0,0,0,0,0,0,23.4995202248861,0,0,0,0,0,0,11.7497601124431,0,0,0,0,0,0,0,0,0,46.9990404497723
1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1S8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27J,0,0,0,0,0,0,0,0,0,0,0,0,12.3092724987499,0,0,36.9278174962496,0,0,0,0,0,0,0,0,0,12.3092724987499,0,0,0,12.3092724987499
2M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2O4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3O7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46Z,0,11.2389009771195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2389009771195,11.2389009771195,22.4778019542389,0,22.4778019542389,0,0,0,11.2389009771195,0,0
4R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5J3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5K0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64S,0,0,0,0,0,0,0,0,0,0,0,11.2389009771195,0,0,0,0,0,11.2389009771195,0,0,0,0,11.2389009771195,0,22.4778019542389,0,0,0,44.9556039084778,0
6A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2389009771195,11.2389009771195,0,0,0,11.2389009771195,0,0,22.4778019542389,0,0,0,0
6L3,0,0,0,11.7497601124431,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7497601124431,0,0,0,0,11.7497601124431,0,0,0,0,0,0,0
6L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4334058627167,0,0,0,0,0,0,0,0,0,0,0,0
73Z,0,11.2389009771195,0,11.2389009771195,0,11.2389009771195,11.2389009771195,0,0,0,0,0,0,0,0,0,0,11.2389009771195,0,0,22.4778019542389,0,0,0,0,0,0,22.4778019542389,11.2389009771195,0
7O3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5412268728123,0,0,0,0,0,0,0,0
8C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2389009771195,0,0,0,11.2389009771195,0,0,0,0,0,0,0,0,11.2389009771195
97Z,0,11.2389009771195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2389009771195,11.2389009771195,0,0,0,0,0,11.2389009771195,0,0,0,0
98Z,0,22.4778019542389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2389009771195,33.7167029313584,0,0,0,0,0,0,0,0,0,0,0
99L,0,0,0,0,0,0,0,0,0,0,0,0,22.4778019542389,0,0,11.2389009771195,0,11.2389009771195,0,0,11.2389009771195,0,0,0,11.2389009771195,0,0,11.2389009771195,0,0
