id,wdeg_prox
'0J5',217.6384414
'0K8',149.3851741
'0M6',48.08352758
'0Q5',32.77938738
'0R2',41.82046506
'11Z',78.08123735
'16R',157.183368
'1C5',90.4809307
'1C7',144.8813742
'1E2',158.1649287
'1L1',76.49766029
'1M8',0
'1O7',37.0149262
'1O9',54.94581232
'1P0',79.89252212
'1P4',71.33550601
'1P5',4.235538819
'1R1',15.69911671
'1R7',16.57384755
'1S5',0
'1S8',25.28432521
'24V',484.6888888
'25P',150.6811204
'27J',110.0928785
'27N',301.3806132
'2C3',166.4830606
'2C4',210.6018639
'2F2',230.3150963
'2J7',193.6502946
'2M4',4.235538819
'2O4',0
'2O7',4.437231143
'2R0',0
'2R9',0
'37V',278.8441389
'3F5',177.4797457
'3F7',210.737787
'3G3',157.1490132
'3M3',27.10744844
'3O3',4.051384957
'3O7',14.40492429
'3P5',18.6363708
'3Q3',46.40677314
'3Q9',47.76775787
'3R0',61.7402129
'3R9',35.11200296
'44V',67.28631336
'46Z',102.8367779
'49V',199.4691096
'4D8',199.2377652
'4F1',291.3026255
'4M0',0
'4M9',0
'4P6',20.99354023
'4Q4',8.102769914
'4R3',8.471077637
'4R4',22.87190962
'4R7',57.52966639
'51J',78.51531431
'51V',165.8656294
'55J',66.84785179
'56K',90.43708455
'5H4',336.6288745
'5J3',8.955693063
'5K0',0
'5M5',25.22907905
'5P4',0
'5Q7',67.58446724
'60R',148.5683202
'62R',168.2669802
'64S',36.83077234
'6A9',45.72277309
'6C2',146.4527431
'6D4',205.0662865
'6D6',121.2039333
'6D9',170.7106298
'6K6',166.3400448
'6L1',183.4172462
'6L3',80.95403759
'6L4',12.33830873
'6M7',37.2727416
'6O7',42.35538819
'73Z',49.35323493
'76J',298.658979
'7F0',144.0609352
'7I8',172.385553
'7J7',198.7020168
'7O3',38.8257725
'7Q3',76.23969873
'83Z',335.4201821
'86Z',169.9178912
'8C9',21.17769409
'8I9',164.3061677
'8L3',336.1854437
'8O9',83.86366861
'93O',188.7577082
'94H',226.8775576
'97Z',36.46246461
'98Z',60.77077435
'99L',117.4901638
'9H9',89.13046905
'9I8',137.7470885
'9L9',178.2609381
'9N6',62.12123601
'9Q5',18.6363708
